in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF,out:PMV
243,60,59,2.1,7.7,0.9,0.0,0.2,15,0.7,5.8,2.0,0.0,0.4,0,-80,1.0,0.1,9,0.02,1.0,0.94,0.0,0.0,0.996914,81.07,0.996914,0.92284,77.219568,19.456083,6,-999
244,65,64,2.3,7.6,0.7,0.3,0.0,10,0.8,3.4,2.0,2.8,0.0,0,-80,0.7,0.0,6,0.02,1.0,1.5,0.0,0.0,1.0,82.579,1.0,0.87037,72.64679,26.477531,7,-999
245,40,33,2.4,4.5,0.6,0.4,3.0,10,0.8,3.4,2.0,2.3,0.5,0,-80,1.4,0.8,5,0.3,0.4,0.93,0.0,0.0,0.746914,80.933,0.746914,0.95679,77.972747,30.121408,2,-999
251,70,45,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,0.8,0.1,0.2,0,-80,0.7,0.2,4,0.9,0.6,1.63,0.05,0.75,1.0,84.088,1.0,0.790123,61.481204,33.49491,8,-999
266,60,32,2.1,7.7,0.8,0.2,0.0,15,1.2,3.4,0.9,2.5,0.3,0,-50,1.0,0.0,5,1.1,0.9,1.02,0.05,0.05,0.947531,80.624,0.947531,0.966049,78.803981,25.009299,6,-999
301,30,30,1.2,6.8,0.8,0.4,0.7,35,1.6,5.9,0.9,0.0,0.3,0,-80,1.5,0.7,7,0.3,0.3,1.11,0.0,0.0,1.0,82.888,1.0,0.833333,70.171358,29.861102,0,-999
306,45,32,2.6,4.7,0.4,1.3,1.9,10,0.6,4.5,2.0,0.6,1.1,0,-80,1.0,0.6,3,1.1,0.2,1.65,0.3,0.2,0.919753,82.03,0.919753,0.947531,77.715093,39.51349,3,-999
307,40,31,2.6,4.2,0.4,1.0,2.7,10,0.6,4.5,2.0,1.0,0.7,0,-80,0.7,0.3,3,0.8,0.3,1.6,0.0,0.4,0.873457,82.03,0.873457,0.950617,77.827685,37.255297,2,-999
308,70,69,2.6,7.3,0.4,0.0,0.6,40,1.8,6.0,0.8,0.0,0.2,0,-80,0.5,0.1,9,0.02,0.1,0.89,0.0,0.0,1.0,83.711,1.0,0.651235,40.304012,38.279233,8,-999
309,40,33,2.6,4.2,0.4,2.4,1.3,15,1.2,3.4,0.8,0.0,2.8,0,-20,1.4,0.1,5,0.2,0.1,0.85,0.1,0.1,0.966049,81.619,0.966049,0.91358,75.345185,37.0989,2,-999
