in:Index,img:Output1,img:Output2,img:Output3,out:WWR_Skylight,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Frame_BL,out:Frame_BR,out:Frame_TR,out:Frame_TL,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
825,Index_825_Parallel.png,Index_825_Back.png,Index_825_Front.png,30,1.3,6.2,0.8,0.1,1.6,10,0.8,3.4,2,0.2,2.6,-180,0.8,1.2,0.6,1.3,6551.975,1,83.711,0.827,0.867,73.223,21.007
826,Index_826_Parallel.png,Index_826_Back.png,Index_826_Front.png,50,2,6.8,1,1.1,0,10,0.8,3.4,2,1,1.8,-180,1.5,0.9,0.7,1.2,6559.552,2,85.082,1,0.614,61.623,26.358
827,Index_827_Parallel.png,Index_827_Back.png,Index_827_Front.png,50,1.8,7.5,1,0.4,0,10,0.8,3.4,2,0.9,1.9,-180,0.8,0.7,1.2,0.3,6561.703,5,85.802,1,0.562,60.244,29.154
828,Index_828_Parallel.png,Index_828_Back.png,Index_828_Front.png,30,2,4,0.9,3.5,0.4,35,1.6,5.9,1,0.2,0.1,-180,1,0.3,1.2,1,6566.976,0,84.979,1,0.83,69.695,22.325
829,Index_829_Parallel.png,Index_829_Back.png,Index_829_Front.png,45,2.3,5.3,0.7,2.5,0.1,20,1.5,3.6,1,0.5,2.1,-180,0.6,1.3,1.2,0.4,6579.311,5,86.077,1,0.67,60.714,28.632
830,Index_830_Parallel.png,Index_830_Back.png,Index_830_Front.png,30,2,4,0.8,0.8,3.1,10,0.8,3.4,2,0.6,2.2,-180,0.9,0.2,1,1.5,6588.217,1,83.882,0.827,0.877,74.452,20.963
831,Index_831_Parallel.png,Index_831_Back.png,Index_831_Front.png,50,2.5,5.4,0.5,2.1,0.4,10,0.6,4.5,2,0.8,0.9,-180,1.5,1.2,0.4,0.9,6597.798,5,86.42,1,0.599,59.48,31.134
832,Index_832_Parallel.png,Index_832_Back.png,Index_832_Front.png,35,1.3,7.3,0.8,0,0.6,30,1.6,5.1,0.9,0.6,0.5,-180,0.7,1.1,1.2,0.1,6606.385,3,85.631,1,0.731,61.532,26.685
833,Index_833_Parallel.png,Index_833_Back.png,Index_833_Front.png,50,1.8,7.5,0.8,0.2,0.2,10,0.8,3.4,2,0.7,2.1,-180,0.9,0.2,1.1,1.2,6619.963,1,84.705,1,0.707,66.525,23.502
834,Index_834_Parallel.png,Index_834_Back.png,Index_834_Front.png,50,2.3,5.9,0.7,0,2,15,1.2,3.4,0.9,0.9,1.9,-180,1.3,0.9,1.3,1.2,6678.384,3,84.911,1,0.664,62.716,25.447
835,Index_835_Parallel.png,Index_835_Back.png,Index_835_Front.png,50,2.6,5.2,0.4,1.2,1.5,20,0.9,6,0.9,0.2,0,-180,0.2,1.3,1.4,0.8,6683.085,4,85.837,1,0.648,60.374,28.604
836,Index_836_Parallel.png,Index_836_Back.png,Index_836_Front.png,50,2.5,5.4,0.5,1.9,0.6,15,0.8,5.1,2,0.3,0.8,-180,0.1,0.9,0.8,0.8,6726.846,5,86.283,1,0.63,61.96,29.344
837,Index_837_Parallel.png,Index_837_Back.png,Index_837_Front.png,35,2.2,4.3,0.8,0.8,2.8,30,1.5,5.4,0.8,0.1,0.7,-180,1.2,0.8,0.6,1,6738.982,3,85.631,1,0.694,61.476,27.286
838,Index_838_Parallel.png,Index_838_Back.png,Index_838_Front.png,55,2.5,5.9,0.5,1.6,0.4,10,0.8,3.4,2,0.4,2.4,-180,0.5,1.1,0.9,1.4,6747.263,4,85.46,1,0.667,63.494,26.325
839,Index_839_Parallel.png,Index_839_Back.png,Index_839_Front.png,40,2.3,4.7,0.7,1.5,1.7,20,1.5,3.6,0.9,2.1,0.5,-180,0.6,1.2,0.3,0.4,6753.412,5,86.694,1,0.583,57.385,34.218
840,Index_840_Parallel.png,Index_840_Back.png,Index_840_Front.png,30,1.2,6.8,0.9,0.7,0.4,25,1.1,6.1,1,0.1,0,-180,0.7,0.8,1.5,1.5,6753.56,0,83.573,0.991,0.929,78.488,19.285
841,Index_841_Parallel.png,Index_841_Back.png,Index_841_Front.png,45,1.9,6.4,0.9,0.2,1.3,20,1.1,4.9,0.8,0.2,1.1,-180,0.5,1.1,0.6,1.3,6760.02,4,85.288,1,0.617,60.226,27.799
842,Index_842_Parallel.png,Index_842_Back.png,Index_842_Front.png,30,1.3,6.2,0.8,1.2,0.5,15,0.7,5.8,2,0.4,0,-180,0.1,0.8,1.5,0.4,6765.679,1,84.191,0.941,0.873,74.129,20.908
843,Index_843_Parallel.png,Index_843_Back.png,Index_843_Front.png,30,2,4,0.8,0,3.9,35,1.9,5,0.8,0.3,0.9,-180,0.1,0.7,0.1,0.9,6778.29,3,86.248,1,0.731,63.01,27.917
844,Index_844_Parallel.png,Index_844_Back.png,Index_844_Front.png,30,2,4,0.9,3.8,0.1,35,2,4.7,0.9,0,1.5,-180,0.6,0.5,0.2,0.4,6778.423,2,86.454,1,0.744,62.107,28.802
845,Index_845_Parallel.png,Index_845_Back.png,Index_845_Front.png,30,2,4,1,0.4,3.5,35,1.6,5.9,0.8,0.2,0.1,-180,1.4,0.5,1.5,1.4,6788.295,1,84.396,1,0.833,70.837,21.628
846,Index_846_Parallel.png,Index_846_Back.png,Index_846_Front.png,50,1.8,7.5,0.9,0.1,0.3,20,0.9,6,0.8,0,0.2,-180,0.4,0.9,1.5,1.3,6791.674,1,84.396,1,0.725,64.446,23.806
847,Index_847_Parallel.png,Index_847_Back.png,Index_847_Front.png,40,1.6,6.8,1,0.8,0.3,20,1.5,3.6,0.8,0.2,2.4,-180,1.1,1.2,0.5,0.7,6803.217,4,85.734,1,0.605,58.66,29.965
848,Index_848_Parallel.png,Index_848_Back.png,Index_848_Front.png,50,1.8,7.5,0.9,0.4,0,10,0.8,3.4,2,1.6,1.2,-180,0.3,1.2,0.9,0.6,6804.893,5,85.768,1,0.602,60.72,28.984
849,Index_849_Parallel.png,Index_849_Back.png,Index_849_Front.png,30,2,4,1,2.4,1.5,15,0.7,5.8,2,0.1,0.3,-180,0.1,1.4,0.7,1.5,6810.647,1,84.156,0.951,0.836,74.033,21.048
850,Index_850_Parallel.png,Index_850_Back.png,Index_850_Front.png,30,1.2,6.8,0.8,0.1,1,30,1.4,5.8,0.9,0.2,0.2,-180,1.3,0.7,1,1.5,6815.579,0,83.985,1,0.898,73.82,20.417
851,Index_851_Parallel.png,Index_851_Back.png,Index_851_Front.png,45,1.7,7.1,0.8,0.1,0.7,25,1.1,6.1,1,0.1,0,-180,0.3,0.1,0.6,1.2,6819.679,3,85.7,1,0.704,61.885,27.357
852,Index_852_Parallel.png,Index_852_Back.png,Index_852_Front.png,30,2,4,1,3.4,0.5,35,1.7,5.6,0.8,0.5,0.1,-180,0.7,1.1,1.5,0.7,6820.082,2,84.979,1,0.784,67.984,23.357
853,Index_853_Parallel.png,Index_853_Back.png,Index_853_Front.png,35,2.1,4.5,0.8,0.3,3.1,30,1.4,5.8,0.9,0,0.4,-180,0.8,0.4,0.1,0.8,6823.093,5,86.454,1,0.67,58.493,31.66
854,Index_854_Parallel.png,Index_854_Back.png,Index_854_Front.png,30,1.3,6.2,0.8,1,0.7,25,1.4,4.8,1,1,0.4,-180,1.1,0.8,1.5,0.9,6834.592,1,83.985,0.991,0.886,74.757,20.379
855,Index_855_Parallel.png,Index_855_Back.png,Index_855_Front.png,35,2.2,4.3,0.8,2.9,0.7,30,1.5,5.4,1,0.8,0,-180,0.4,0.6,1.2,1.4,6840.887,1,84.877,1,0.821,69.536,22.648
856,Index_856_Parallel.png,Index_856_Back.png,Index_856_Front.png,30,2,4,0.9,3.1,0.8,10,0.8,3.4,2,2.8,0,-180,1.3,0.8,1.5,0.7,6848.976,2,83.882,0.799,0.84,73.063,21.877
857,Index_857_Parallel.png,Index_857_Back.png,Index_857_Front.png,30,1.3,6.2,0.8,0.2,1.5,35,2,4.7,0.8,0,1.5,-180,1.5,0.1,0.2,1.4,6858.069,2,84.979,1,0.809,66.554,23.659
858,Index_858_Parallel.png,Index_858_Back.png,Index_858_Front.png,30,2,4,0.9,2.4,1.5,35,1.6,5.9,0.8,0.3,0,-180,0.3,0.3,0.6,0.1,6891.424,5,86.523,1,0.673,60.123,31.054
859,Index_859_Parallel.png,Index_859_Back.png,Index_859_Front.png,40,2.4,4.5,0.6,0.2,3.2,30,1.4,5.8,1,0.1,0.3,-180,0.2,0.1,0.9,1.3,6894.128,2,85.734,1,0.759,64.644,26.037
860,Index_860_Parallel.png,Index_860_Back.png,Index_860_Front.png,45,1.6,7.6,0.8,0,0.3,20,0.9,6,0.8,0,0.2,-180,0.9,0.9,1,0.7,6905.387,3,85.391,1,0.645,59.976,28.215
861,Index_861_Parallel.png,Index_861_Back.png,Index_861_Front.png,45,2.3,5.3,0.7,2.6,0,10,0.8,3.4,2,1.1,1.7,-180,1.5,1.5,0.1,0.1,6922.861,1,87.277,1,0.549,56.04,39.386
862,Index_862_Parallel.png,Index_862_Back.png,Index_862_Front.png,30,1.8,4.5,1,1.8,1.6,10,0.8,3.4,2,0.3,2.5,-180,0.7,0.7,1.2,1,6922.973,1,83.951,0.849,0.849,74.35,21.438
863,Index_863_Parallel.png,Index_863_Back.png,Index_863_Front.png,45,2.2,5.5,0.8,0.7,1.7,15,1,4,1,0.5,1.7,-180,1.2,0.6,0.8,0.4,6931.166,5,86.18,1,0.559,58.178,32.535
864,Index_864_Parallel.png,Index_864_Back.png,Index_864_Front.png,40,1.4,7.7,1,0.1,0.1,20,1.3,4.2,0.9,0.2,1.8,-180,0.4,1.2,0.5,0.4,6950.063,5,86.043,1,0.611,58.06,31.564
865,Index_865_Parallel.png,Index_865_Back.png,Index_865_Front.png,30,1.2,6.8,0.8,1,0.1,10,0.8,3.4,2,2.6,0.2,-180,0.3,0.1,0.4,1.5,6966.865,0,83.779,0.799,0.889,73.706,21.557
866,Index_866_Parallel.png,Index_866_Back.png,Index_866_Front.png,45,2.4,5.1,0.6,2,0.8,25,1.2,5.6,0.8,0.1,0.5,-180,0.1,0.1,1,1.1,6971.312,4,85.974,1,0.688,61.371,28.749
867,Index_867_Parallel.png,Index_867_Back.png,Index_867_Front.png,35,1.6,5.9,0.8,0.9,1.1,30,1.4,5.8,0.9,0.4,0,-180,1.3,0.1,0.8,0.5,6996.013,3,85.837,1,0.731,61.428,28.026
868,Index_868_Parallel.png,Index_868_Back.png,Index_868_Front.png,45,1.6,7.6,0.8,0,0.3,20,1.1,4.9,0.8,0,1.3,-180,0.4,1.5,1,0.8,6997.849,1,85.082,1,0.657,60.875,27.186
869,Index_869_Parallel.png,Index_869_Back.png,Index_869_Front.png,50,1.8,7.5,0.8,0.1,0.3,10,0.8,3.4,2,0.9,1.9,-180,0.9,0.5,0.3,1.2,7022.52,4,85.768,1,0.599,60.884,29.435
870,Index_870_Parallel.png,Index_870_Back.png,Index_870_Front.png,30,1.7,4.8,0.8,0.4,2.7,10,0.8,3.4,2,0.5,2.3,-180,0.6,0.6,0.7,1.5,7029.074,1,83.882,0.824,0.867,73.865,21.651
871,Index_871_Parallel.png,Index_871_Back.png,Index_871_Front.png,45,2.2,5.5,0.8,1.5,0.9,10,0.8,3.4,2,1,1.8,-180,1.5,0.7,0.5,0.3,7030.975,5,86.488,1,0.534,58.155,34.329
872,Index_872_Parallel.png,Index_872_Back.png,Index_872_Front.png,30,2,4,0.9,0.7,3.2,10,0.8,3.4,2,2.4,0.4,-180,1.5,0.1,1,1.3,7035.402,1,83.813,0.806,0.849,73.815,21.8
873,Index_873_Parallel.png,Index_873_Back.png,Index_873_Front.png,30,2,4,0.8,2.3,1.6,25,2,3.4,1,0.1,2.7,-180,1.4,0.2,0.5,1.4,7037.081,2,84.911,0.991,0.833,70.584,22.712
874,Index_874_Parallel.png,Index_874_Back.png,Index_874_Front.png,30,2,4,0.9,0.8,3.1,30,1.9,4.3,1,1.7,0.2,-180,0.1,1.5,1.4,0.2,7044.725,2,85.391,1,0.778,67.53,24.545
875,Index_875_Parallel.png,Index_875_Back.png,Index_875_Front.png,45,1.7,7.1,0.9,0.1,0.7,10,0.6,4.5,2,0.9,0.8,-180,1.2,1.2,0.5,0.8,7048.13,4,85.597,1,0.602,60.903,28.998
876,Index_876_Parallel.png,Index_876_Back.png,Index_876_Front.png,40,1.4,7.7,0.8,0.1,0.1,25,1.1,6.1,0.9,0.1,0,-180,1,0.7,1.5,1.2,7053.17,1,84.053,1,0.849,70.828,21.496
877,Index_877_Parallel.png,Index_877_Back.png,Index_877_Front.png,40,1.7,6.4,0.8,0.6,0.9,25,1.2,5.6,1,0,0.6,-180,1,0.2,1.4,1.2,7061.985,0,84.568,1,0.818,69.379,22.584
878,Index_878_Parallel.png,Index_878_Back.png,Index_878_Front.png,40,1.4,7.7,0.9,0.1,0.1,25,1.1,6.1,1,0,0.1,-180,0.4,0.5,1.2,1.5,7076.8,1,84.156,1,0.855,72.541,21.274
879,Index_879_Parallel.png,Index_879_Back.png,Index_879_Front.png,30,1.3,6.2,0.8,0.5,1.2,10,0.7,3.9,2,2,0.3,-180,0.1,1.4,1.5,0.4,7080.405,1,83.951,0.827,0.864,73.795,21.796
880,Index_880_Parallel.png,Index_880_Back.png,Index_880_Front.png,40,2.3,4.7,0.7,0.4,2.8,25,1.1,6.1,0.8,0.1,0,-180,0.3,0.8,1.3,0.1,7099.638,5,86.283,1,0.648,59.218,31.593
881,Index_881_Parallel.png,Index_881_Back.png,Index_881_Front.png,30,1.2,6.8,0.8,0.4,0.7,35,1.6,5.9,0.8,0.3,0,-180,1,0.7,0.6,1.4,7114.062,0,84.534,1,0.849,69.355,22.454
882,Index_882_Parallel.png,Index_882_Back.png,Index_882_Front.png,30,1.4,5.8,0.8,0.4,1.7,30,1.4,5.8,1,0.2,0.2,-180,0.9,0.5,1.3,1,7118.096,1,84.396,1,0.88,73.358,21.321
883,Index_883_Parallel.png,Index_883_Back.png,Index_883_Front.png,40,2.1,5.1,0.9,1,1.8,25,1.2,5.6,1,0.6,0,-180,1.5,0.2,1.5,1.2,7129.387,1,84.499,1,0.778,67.615,23.242
