in:Index,img:Output1,img:Output2,img:Output3,img:Output4,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:Hypervolume,out:Rank,out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
655,Index_655_Parallel.png,Index_655_Back.png,Index_655_Front.png,Index_655_Top.png,50,37,2.4,5.6,0.6,0.6,1.7,40,1.8,6,0.8,0,0.2,-180,40,1.3,0.1,3,0.7,1.3,2.1,0.05,0.4,,5,83.745,1,0.784,64.67,21.4
656,Index_656_Parallel.png,Index_656_Back.png,Index_656_Front.png,Index_656_Top.png,70,37,2.5,7.6,0.5,0.2,0.1,25,1.5,4.5,0.8,0,1.7,-180,-80,1.4,0.1,4,1.2,0.8,1.33,0.55,0.65,,4,85.151,1,0.537,57.29,34.81
657,Index_657_Parallel.png,Index_657_Back.png,Index_657_Front.png,Index_657_Top.png,60,48,2.6,6.2,0.4,1.6,0.1,15,1.1,3.7,0.8,1.1,1.4,-180,-50,0.4,0,7,0.2,0.7,0.83,0.15,0.05,,6,85.117,1,0.6049,60.89,28.61
658,Index_658_Parallel.png,Index_658_Back.png,Index_658_Front.png,Index_658_Top.png,50,46,2.1,6.4,0.8,0.1,1.4,20,1,5.4,1,0.7,0.1,-180,70,0.6,0.4,2,0.5,0.1,5.9,0.05,0.15,,5,87.174,1,0.5062,53.61,38.62
659,Index_659_Parallel.png,Index_659_Back.png,Index_659_Front.png,Index_659_Top.png,60,59,2.1,7.7,0.9,0.1,0.1,10,0.8,3.4,2,1.6,1.2,-180,10,1.9,0.3,8,0.02,0.2,1.08,0,0,,19,83.608,1,0.716,65.46,22.82
660,Index_660_Parallel.png,Index_660_Back.png,Index_660_Front.png,Index_660_Top.png,30,29,2,4,0.9,1.1,2.8,25,2,3.4,1,0.8,2,-180,50,0.8,0.6,5,0.02,1.4,0.98,0,0,,5,82.476,0.83642,0.9043,76.42,13.65
661,Index_661_Parallel.png,Index_661_Back.png,Index_661_Front.png,Index_661_Top.png,45,38,1.6,7.6,0.8,0.3,0,40,1.8,6,0.9,0.2,0,-180,-30,0.2,0.8,7,0.2,0.5,1.07,0.1,0.1,,9,86.42,1,0.5648,52.34,28.29
662,Index_662_Parallel.png,Index_662_Back.png,Index_662_Front.png,Index_662_Top.png,50,32,1.9,7.1,0.9,0.6,0.2,25,1.3,5.2,0.9,0.2,0.8,-180,0,1,0.5,6,0.5,0.8,0.92,0.05,0.05,,16,82.853,0.996914,0.7747,70.84,23.05
663,Index_663_Parallel.png,Index_663_Back.png,Index_663_Front.png,Index_663_Top.png,35,30,2.2,4.3,0.8,2.9,0.7,10,0.7,3.9,2,0.3,2,-180,80,0.1,0.1,2,0.6,0.1,3.7,0.4,0.2,,4,85.974,0.978395,0.7037,67.04,39.14
664,Index_664_Parallel.png,Index_664_Back.png,Index_664_Front.png,Index_664_Top.png,30,29,2,4,0.8,3.3,0.6,10,0.8,3.4,2,2.2,0.6,-180,80,0.1,0.9,2,0.02,0.1,3.98,0,0,,1,85.837,0.981481,0.7469,68.08,40.07
665,Index_665_Parallel.png,Index_665_Back.png,Index_665_Front.png,Index_665_Top.png,30,29,2,4,0.8,0.3,3.6,10,0.8,3.4,2,1.9,0.9,-180,-70,0.2,0.7,2,0.02,0.1,3.98,0,0,,2,86.077,0.978395,0.716,67.64,40.15
666,Index_666_Parallel.png,Index_666_Back.png,Index_666_Front.png,Index_666_Top.png,30,30,1.2,6.8,0.8,0.8,0.3,10,0.6,4.5,2,0.7,1,-180,80,0.9,0,2,0.02,0.1,6.78,0,0,,2,85.665,0.975309,0.7315,66.54,39.34
667,Index_667_Parallel.png,Index_667_Back.png,Index_667_Front.png,Index_667_Top.png,30,30,1.8,4.5,0.9,0.1,3.3,10,0.6,4.5,2,0.5,1.2,-180,80,0.9,0,2,0.02,0.1,4.48,0,0,,1,85.528,0.990741,0.7068,67.28,39.94
668,Index_668_Parallel.png,Index_668_Back.png,Index_668_Front.png,Index_668_Top.png,30,30,1.2,6.8,1,0,1.1,10,0.8,3.4,2,0,2.8,-180,-80,0.1,0,2,0.02,1.5,6.78,0,0,,3,85.562,0.987654,0.7068,67.23,34.32
669,Index_669_Parallel.png,Index_669_Back.png,Index_669_Front.png,Index_669_Top.png,45,37,1.9,6.4,0.9,1.3,0.2,30,1.4,5.8,0.9,0.3,0.1,-180,-40,0.6,0.3,7,0.2,1.1,0.87,0.1,0.1,,21,83.985,1,0.713,64.2,22.4
670,Index_670_Parallel.png,Index_670_Back.png,Index_670_Front.png,Index_670_Top.png,50,30,2.2,6.1,0.8,1.5,0.3,40,1.8,6,0.9,0,0.2,-180,-50,1.4,0.8,3,1.2,1.4,1.85,0.65,0.55,,7,84.705,1,0.6574,59.33,25.72
671,Index_671_Parallel.png,Index_671_Back.png,Index_671_Front.png,Index_671_Top.png,30,30,1.6,5.1,1,0.3,2.5,25,1.9,3.6,0.8,1.4,1.2,-180,0,1.2,0.1,4,0.02,1.3,1.68,0,0,,20,83.23,0.987654,0.7716,70.67,21.29
672,Index_672_Parallel.png,Index_672_Back.png,Index_672_Front.png,Index_672_Top.png,70,63,2.5,7.6,0.5,0,0.3,15,0.9,4.5,1,0.9,0.8,-180,50,0.5,0.6,9,0.1,0.7,0.85,0.05,0.05,,9,84.979,1,0.5648,59.45,23.84
673,Index_673_Parallel.png,Index_673_Back.png,Index_673_Front.png,Index_673_Top.png,35,32,2.2,4.3,0.8,2.3,1.3,10,0.8,3.4,2,1.6,1.2,-180,0,2,0,5,0.1,0.5,0.98,0,0.1,,2,82.373,0.845679,0.8488,74.14,21.93
