in:Index,out:WWR_Skylight,out:WWR_Skylight_Vertical_Shading_Divided,out:H_Skylight,out:W_Skylight,out:SH_Skylight,out:Distance_A_Skylight,out:Distance_B_Skylight,out:WWR_Corridor,out:H_Corridor,out:W_Corridor,out:SH_Corridor,out:Distance_A_Corridor,out:Distance_B_Corridor,out:Degree,out:Overhang_Angle,out:Overhang_Length,out:Overhang_Movement_Distance,out:Vertical_Shading_Number,out:Vertical_Shading_Width,out:Vertical_Shading_Length,out:W_Skylight_Vertical_Shading_Divided,out:Vertiacl_Shading_Top_Left_Movement_Distance,out:Vertiacl_Shading_Top_Right_Movement_Distance,out:EUI(old),out:EUI,out:sDA,out:sGA,out:UDI,out:SVF
10,70,70,2.6,7.3,0.4,0,0.6,40,1.8,6,1,0,0.2,0,-80,0.5,0.1,2,0.02,0.1,7.28,0,0,85.528,88.066,1,0.651235,40.291327,38.153585
11,65,58,2.3,7.6,0.7,0,0.3,25,1.1,6.1,1,0.1,0,0,-60,0.9,0,9,0.1,0.2,0.85,0.05,0.05,82.545,84.534,1,0.771605,58.498488,38.646456
12,40,36,2.5,4.3,0.5,0.6,3,10,0.8,3.4,2,1.2,1.6,0,-80,1.1,0.6,5,0.1,0.3,0.97,0.05,0.05,81.207,83.333,0.901235,0.947531,77.194877,35.778416
13,60,43,2.3,7,0.7,0,0.9,10,0.6,4.5,2,1.2,0.5,0,-50,1.7,0.6,3,1,0.1,2.5,0.4,0.4,82.956,85.185,1,0.91358,74.830062,38.872018
14,45,40,2.2,5.5,0.8,1.7,0.7,40,1.8,6,1,0.1,0.1,0,-60,1.3,0.4,4,0.2,0.1,1.63,0,0.2,84.019,86.214,1,0.820988,60.981389,32.946645
15,40,33,2,5.4,0.8,0.6,1.9,25,2,3.4,0.9,0.8,2,0,-60,1.1,0.2,6,0.2,0.8,0.88,0.1,0.1,82.099,84.053,0.990741,0.935185,76.634846,22.987134
16,65,35,2.3,7.6,0.7,0,0.3,10,0.8,3.4,2,1.2,1.6,0,-80,0.8,0.1,6,0.7,0.2,0.82,0.05,0.6,82.476,84.705,0.944444,0.92284,77.722006,39.759704
17,40,37,2.6,4.2,0.4,0.9,2.8,10,0.7,3.9,2,1.9,0.4,0,-80,1.1,0.7,5,0.1,0.2,0.95,0.05,0.05,81.344,83.505,0.935185,0.941358,77.054228,38.598803
18,60,37,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2,0.5,1.2,0,-50,0.7,0.1,3,1.2,0.3,1.9,0.4,0,82.51,84.739,0.950617,0.938272,77.504167,38.561839
19,30,29,2,4,1,0,3.9,40,2,5.4,1,0.3,0.5,0,-80,1.1,0.1,5,0.1,1,0.98,0,0,81.962,83.882,1,0.938272,75.075586,18.702115
20,30,29,2,4,1,0,3.9,40,2,5.4,1,0.3,0.5,0,-80,1.1,0.1,5,0.1,1,0.98,0,0,81.962,83.882,1,0.941358,75.011049,18.702115
21,30,29,2,4,1,0.1,3.8,40,1.9,5.7,0.9,0,0.5,0,-70,1.2,0.1,5,0.1,1,0.98,0,0,81.996,83.916,1,0.907407,73.537809,20.153142
22,40,33,2.6,4.2,0.4,0,3.7,40,2,5.4,1,0.8,0,0,-80,0.5,0.1,5,0.2,1,0.85,0.1,0.1,81.996,83.985,1,0.910494,73.637006,19.3852
23,70,48,2.5,7.6,0.5,0.1,0.2,10,0.8,3.4,2,1.5,1.3,0,-80,0.5,0,7,0.4,0.4,0.87,0.2,0.2,82.956,85.082,1,0.91358,75.16142,37.242678
24,60,49,2.1,7.7,0.9,0.2,0,35,1.6,5.9,0.9,0.2,0.1,0,-40,1.6,0.1,8,0.2,0.7,0.9,0.1,0.1,82.956,84.945,1,0.907407,65.931883,25.808058
25,35,30,2.2,4.3,0.8,1.6,2,30,2,4,0.8,0.6,1.6,0,-60,1,0,4,0.4,0.4,1.23,0.05,0.1,82.75,84.842,1,0.888889,72.990648,29.910575
26,50,31,2.6,5.2,0.4,2,0.7,10,0.6,4.5,2,0.2,1.5,0,-80,0.9,0.5,5,0.5,0.1,0.8,0.1,0.2,81.173,83.265,0.873457,0.938272,77.833549,39.650364
27,40,31,2.6,4.2,0.4,1,2.7,10,0.6,4.5,2,1.2,0.5,0,-80,0.7,0.3,3,1.2,0.1,1.6,0,0.4,82.442,84.739,0.904321,0.950617,77.61321,39.625553
28,55,54,1.9,7.8,0.9,0.1,0,35,1.6,5.9,0.8,0,0.3,0,-60,1.2,0.1,4,0.02,0.7,2.58,0,0,83.951,86.077,1,0.734568,53.83037,32.069597
29,50,47,2.6,5.2,0.4,1.3,1.4,10,0.8,3.4,2,1.9,0.9,0,-60,0.4,0,2,0.3,0.9,4.9,0.1,0.2,82.647,84.911,1,0.910494,74.670864,38.212505
30,65,44,2.3,7.6,0.7,0.1,0.2,25,2,3.4,1,1.7,1.1,0,-80,0.8,0.1,7,0.4,0.2,0.87,0.2,0.2,83.608,85.768,1,0.858025,69.52392,35.743339
31,60,54,2.1,7.7,0.9,0.1,0.1,35,1.6,5.9,1,0,0.3,0,-40,1.4,0,9,0.1,0.8,0.86,0,0.1,81.996,83.916,1,0.944444,68.259321,22.535042
32,35,30,2,4.7,0.9,1.5,1.7,10,0.8,3.4,2,1.8,1,0,-80,0.9,0,3,1.1,0.1,2.05,0.15,0.15,82.476,84.739,0.910494,0.932099,76.991111,40.486977
33,50,31,2.5,5.4,0.5,2.2,0.3,10,0.7,3.9,2,1.3,1,0,-80,1.2,0.7,4,1,0.1,1.1,0.3,0.4,82.373,84.568,0.864198,0.938272,77.510895,39.858805
34,60,48,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2,1.2,0.5,0,-80,0.7,0.3,7,0.2,0.1,0.83,0.05,0,83.059,85.322,1,0.898148,73.90571,42.423398
35,35,30,2.2,4.3,0.8,0.2,3.4,20,1.5,3.6,1,1.2,1.4,0,-80,0.9,0.1,2,0.6,0.9,3.7,0.25,0.2,82.545,84.705,0.990741,0.916667,75.768426,33.351031
36,50,44,2.5,5.4,0.5,1.3,1.2,25,1.9,3.6,0.9,1.1,1.5,0,-40,0.9,0,3,0.3,0.1,2.4,0,0.15,83.402,85.665,1,0.858025,69.068858,37.190239
37,60,59,2.1,7.7,0.9,0,0.2,15,0.7,5.8,2,0,0.4,0,-80,1,0.1,9,0.02,1,0.94,0,0,81.07,83.025,0.996914,0.919753,76.952593,19.466654
38,65,64,2.3,7.6,0.7,0.3,0,10,0.8,3.4,2,2.8,0,0,-80,0.7,0,6,0.02,1,1.5,0,0,82.579,84.739,1,0.873457,72.31213,26.478682
39,40,33,2.4,4.5,0.6,0.4,3,10,0.8,3.4,2,2.3,0.5,0,-80,1.4,0.8,5,0.3,0.4,0.93,0,0,80.933,82.99,0.740741,0.953704,77.962901,30.121408
40,70,45,2.5,7.6,0.5,0.2,0.1,35,1.6,5.9,0.8,0.1,0.2,0,-80,0.7,0.2,4,0.9,0.6,1.63,0.05,0.75,84.088,86.18,1,0.783951,61.395833,33.497579
41,60,32,2.1,7.7,0.8,0.2,0,15,1.2,3.4,0.9,2.5,0.3,0,-50,1,0,5,1.1,0.9,1.02,0.05,0.05,80.624,82.579,0.944444,0.962963,78.820463,25.05922
42,30,30,1.2,6.8,0.8,0.4,0.7,35,1.6,5.9,0.9,0,0.3,0,-80,1.5,0.7,7,0.3,0.3,1.11,0,0,82.888,84.945,1,0.839506,70.16537,29.864214
43,45,32,2.6,4.7,0.4,1.3,1.9,10,0.6,4.5,2,0.6,1.1,0,-80,1,0.6,3,1.1,0.2,1.65,0.3,0.2,82.03,84.225,0.919753,0.947531,77.707284,39.517116
44,40,31,2.6,4.2,0.4,1,2.7,10,0.6,4.5,2,1,0.7,0,-80,0.7,0.3,3,0.8,0.3,1.6,0,0.4,82.03,84.294,0.876543,0.950617,77.835525,37.257046
45,70,69,2.6,7.3,0.4,0,0.6,40,1.8,6,0.8,0,0.2,0,-80,0.5,0.1,9,0.02,0.1,0.89,0,0,83.711,85.837,1,0.648148,40.301204,38.279244
46,40,33,2.6,4.2,0.4,2.4,1.3,15,1.2,3.4,0.8,0,2.8,0,-20,1.4,0.1,5,0.2,0.1,0.85,0.1,0.1,81.619,83.745,0.975309,0.919753,75.350895,37.472899
47,60,49,2.3,7,0.7,0,0.9,25,1.1,6.1,1,0.1,0,0,-60,1,0.1,4,0.4,0.9,1.93,0.15,0.05,83.265,85.322,1,0.842593,68.04392,31.146982
48,55,54,2.2,6.7,0.8,0.3,0.9,10,0.8,3.4,2,2.5,0.3,0,-60,0.9,0,7,0.02,1,1.1,0,0,81.824,83.882,0.962963,0.932099,77.08966,21.896826
49,70,59,2.5,7.6,0.5,0.3,0,25,1.1,6.1,0.8,0,0.1,0,-50,0.8,0,2,1.2,0.7,6.4,0.95,0.05,84.294,86.591,1,0.740741,55.996821,40.063677
50,45,31,2.5,4.9,0.5,1.6,1.4,10,0.8,3.4,2,1.2,1.6,0,-80,0.9,0.4,3,1,0.1,1.65,0.15,0.4,82.236,84.499,0.885802,0.944444,77.604383,40.265046
51,60,37,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2,0.6,1.1,0,-80,0.7,0.3,3,1.2,0.1,1.9,0.3,0,82.75,84.979,0.962963,0.935185,77.097469,40.961242
52,35,32,1.3,7.3,0.8,0.6,0,10,0.6,4.5,2,1.2,0.5,0,-80,0.8,0,2,0.7,0.1,6.6,0,0.45,82.51,84.877,0.898148,0.916667,75.266914,40.16678
53,40,33,2.3,4.7,0.7,1.5,1.7,10,0.6,4.5,2,0.7,1,0,-80,1.2,0.5,5,0.3,0.1,0.97,0.05,0,81.481,83.642,0.947531,0.938272,76.887778,39.867796
54,40,31,2.6,4.2,0.4,1,2.7,10,0.6,4.5,2,0.2,1.5,0,-80,0.7,0.3,3,0.8,0.1,1.6,0,0.05,82.167,84.465,0.895062,0.950617,77.700123,39.803328
55,40,33,2.6,4.2,0.4,1.4,2.3,10,0.8,3.4,2,2.4,0.4,0,-30,1,0,5,0.2,0.4,0.85,0.1,0.1,81.139,83.23,0.817901,0.969136,78.250494,31.971547
56,50,36,2.4,5.6,0.6,1.8,0.5,20,1.5,3.6,1,0.6,2,0,-80,0.8,0.2,6,0.3,0.7,0.82,0.15,0.15,82.373,84.431,0.978395,0.938272,76.765154,27.448634
57,70,37,2.5,7.6,0.5,0.3,0,10,0.8,3.4,2,0.4,2.4,0,-80,0.5,0,4,1.2,1,1.33,1.05,0.15,82.373,84.431,0.910494,0.95679,78.530494,32.342975
58,45,32,2.4,5.1,0.6,0.5,2.3,25,1.7,4,1,1.1,1.1,0,-40,1.1,0.1,4,0.6,1,1.2,0.3,0,81.996,83.985,0.996914,0.966049,77.467531,23.739106
59,30,29,2,4,0.8,0.2,3.7,10,0.8,3.4,2,1.9,0.9,0,-70,0.9,0,5,0.02,1,0.98,0,0,80.727,82.716,0.462963,0.984568,77.183179,19.34741
60,30,30,1.2,6.8,1,0,1.1,10,0.6,4.5,2,1.2,0.5,0,-80,1,0,2,0.02,1,6.78,0,0,82.133,84.362,0.87037,0.919753,77.41642,35.726484
61,65,64,2.3,7.6,0.7,0.3,0,40,1.8,6,0.8,0.2,0,0,-50,1.5,0.4,8,0.02,0.5,1.07,0,0,83.882,85.905,1,0.737654,50.721667,28.001953
62,30,30,1.2,6.8,1,0,1.1,10,0.6,4.5,2,1.2,0.5,0,-80,1,0,2,0.02,0.8,6.78,0,0,82.236,84.465,0.885802,0.919753,77.366636,36.542157
63,30,30,1.2,6.8,1,0,1.1,10,0.6,4.5,2,1.2,0.5,0,-80,1,0,2,0.02,1,6.78,0,0,82.133,84.362,0.876543,0.919753,77.484012,35.726484
64,30,30,1.2,6.8,0.9,0,1.1,10,0.6,4.5,2,1.2,0.5,0,-80,0.9,0,2,0.02,1,6.78,0,0,82.099,84.362,0.87037,0.919753,76.654969,35.138409
65,35,32,2.2,4.3,0.8,0.6,3,25,1.1,6.1,0.8,0.1,0,0,-50,1.1,0,5,0.2,0.3,0.97,0,0.1,81.962,83.985,1,0.848765,71.588549,34.125405
66,30,29,2,4,1,1.6,2.3,10,0.8,3.4,2,1.1,1.7,0,-40,1.7,0,5,0.1,0.9,0.98,0,0,80.727,82.785,0.472222,1,78.85679,19.635059
67,70,70,2.5,7.6,0.5,0,0.3,10,0.6,4.5,2,1.4,0.3,0,-80,0.5,0,2,0.02,1,7.58,0,0,84.053,86.488,1,0.796296,64.938673,39.999351
68,55,54,2.1,7.1,0.9,0,0.8,40,1.8,6,0.9,0.1,0.1,0,-60,1.1,0,2,0.1,0.9,7,0,0.05,84.465,86.728,1,0.691358,47.91287,32.991755
69,70,57,2.5,7.6,0.5,0,0.3,10,0.8,3.4,2,1.7,1.1,0,-40,1.1,0.1,8,0.2,0.2,0.89,0.1,0.1,83.368,85.597,1,0.876543,70.962593,40.473188
70,65,60,2.3,7.6,0.7,0.2,0.1,15,1.2,3.4,0.8,0.8,2,0,-50,1.1,0.2,2,0.5,0.8,7.1,0.4,0.1,83.813,86.043,1,0.780864,63.080216,40.905164
71,65,64,2.5,7,0.5,0.5,0.4,10,0.8,3.4,2,1.9,0.9,0,-70,0.6,0,2,0.1,0.1,6.9,0.05,0.05,84.122,86.626,1,0.824074,66.782253,44.677369
72,50,32,2,6.8,1,0,1.1,10,0.8,3.4,2,1.1,1.7,0,-80,1.3,0.3,6,0.5,0.1,0.86,0.25,0.25,82.476,84.671,0.935185,0.92284,78.208673,40.303068
73,30,29,2,4,0.9,2.8,1.1,35,1.6,5.9,1,0.1,0.2,0,-60,1.2,0.2,5,0.2,0.4,0.98,0,0,82.133,84.122,1,0.907407,73.271235,26.638913
74,30,29,2,4,0.9,0.8,3.1,10,0.6,4.5,2,0,1.7,0,-80,1.3,0.4,5,0.1,1,0.98,0,0,80.693,82.716,0.469136,0.984568,78.080401,19.705627
75,60,51,2.1,7.7,0.8,0,0.2,10,0.8,3.4,2,1.8,1,0,-80,0.9,0.1,2,1.2,0.1,6.5,0.9,0.3,83.539,85.94,1,0.858025,70.671852,43.447686
76,55,34,2.4,6.2,0.6,0,1.7,10,0.8,3.4,2,2.1,0.7,0,-80,0.6,0,3,1.2,1,1.9,1.2,0,82.133,84.156,0.882716,0.95679,78.023549,32.699591
77,55,47,2.6,5.7,0.4,0,2.2,15,0.7,5.8,2,0.3,0.1,0,-80,0.6,0.2,3,0.4,0.6,2.45,0.35,0.05,82.922,85.082,1,0.904321,74.35966,35.353098
78,30,29,2,4,0.8,1.2,2.7,35,1.7,5.6,1,0.6,0,0,-60,1.6,0.6,5,0.2,0.1,0.98,0,0,82.407,84.465,1,0.888889,71.567654,30.966926
79,50,49,1.8,7.5,1,0.4,0,40,1.9,5.7,1,0,0.5,0,-50,1.3,0,8,0.02,0.4,1.05,0,0,83.402,85.46,1,0.830247,60.88787,27.407877
80,60,41,2.1,7.7,0.8,0.1,0.1,30,1.4,5.8,0.8,0,0.4,0,-70,1.6,0.7,3,1.2,0.9,2.65,0.3,0.2,83.436,85.46,1,0.820988,66.244568,33.190988
81,65,60,2.3,7.6,0.7,0.3,0,20,0.9,6,0.9,0,0.2,0,-50,1.4,0.3,7,0.1,0.5,1.17,0.05,0.05,83.402,85.46,1,0.79321,64.65463,33.108177
82,50,34,2.4,5.6,0.6,1.9,0.4,35,1.8,5.2,0.8,0.1,0.9,0,-70,0.8,0.1,3,0.9,0.8,1.9,0.15,0.2,83.23,85.288,1,0.867284,69.679475,29.300684
83,70,63,2.5,7.6,0.5,0,0.3,10,0.8,3.4,2,0,2.8,0,-80,0.6,0.1,9,0.1,1,0.85,0,0,80.727,82.716,0.959877,0.935185,77.523549,18.942399
84,70,65,2.5,7.6,0.5,0.2,0.1,10,0.8,3.4,2,1.3,1.5,0,-80,0.5,0,2,0.6,0.1,7,0,0,84.225,86.728,1,0.808642,66.497593,44.539525
85,70,57,2.5,7.6,0.5,0,0.3,10,0.8,3.4,2,0,2.8,0,-80,0.6,0.1,8,0.2,0.8,0.89,0,0,82.03,84.053,0.966049,0.944444,77.667562,21.839776
86,70,63,2.5,7.6,0.5,0,0.3,10,0.8,3.4,2,0,2.8,0,-80,0.6,0.1,9,0.1,1,0.85,0.05,0,80.761,82.75,0.978395,0.925926,77.144259,19.897567
87,55,45,2.3,6.5,0.7,1.3,0.1,30,1.4,5.8,1,0.3,0.1,0,-60,1,0.1,7,0.2,0.3,0.88,0.1,0.1,83.436,85.528,1,0.833333,65.546327,34.273843
88,40,40,2.6,4.2,0.4,0.9,2.8,10,0.7,3.9,2,2.1,0.2,0,-80,1,0.6,5,0.02,0.2,1.03,0,0,81.413,83.573,0.959877,0.935185,76.74179,37.547436
89,60,48,2.6,6.2,0.4,1.2,0.5,10,0.6,4.5,2,0.2,1.5,0,-80,1.1,0.7,7,0.2,0.1,0.83,0,0.05,82.99,85.254,1,0.895062,73.892068,42.55568
90,70,63,2.5,7.6,0.5,0,0.3,10,0.8,3.4,2,2.2,0.6,0,-80,0.5,0,9,0.1,0.1,0.85,0,0,82.133,84.294,1,0.833333,68.365,44.21646
91,70,63,2.5,7.6,0.5,0,0.3,15,0.9,4.5,0.8,0.1,1.6,0,-80,1.3,0.8,2,0.8,0.9,6.8,0.35,0.45,84.053,86.283,1,0.759259,61.77858,42.526747
92,40,32,2.5,4.3,0.5,0,3.6,25,1.1,6.1,0.8,0,0.1,0,-40,1.1,0.2,5,0.2,0.4,0.88,0.1,0.1,81.824,83.813,0.996914,0.867284,72.396605,32.481027
93,35,34,2.2,4.3,0.8,2.5,1.1,15,0.7,5.8,2,0.1,0.3,0,-70,0.9,0,5,0.02,0.8,1.06,0,0,81.139,83.196,0.83642,0.959877,78.197716,21.872735
94,30,29,2,4,0.9,1.2,2.7,10,0.8,3.4,2,1.8,1,0,-70,0.9,0,5,0.02,0.9,0.98,0,0,80.761,82.785,0.481481,0.990741,78.105988,20.83606
95,60,36,2.2,7.4,0.8,0,0.5,25,1.2,5.6,0.9,0.6,0,0,-60,1.3,0.3,6,0.6,0.1,0.88,0.3,0.3,83.23,85.391,1,0.833333,70.275154,38.012281
96,45,33,2.2,5.5,0.8,2.3,0.1,35,2,4.7,0.8,1,0.5,0,-70,1.7,0.8,6,0.3,0.3,0.8,0.05,0,82.75,84.774,1,0.876543,71.003086,28.823023
97,55,44,2.4,6.2,0.6,0.3,1.4,30,1.4,5.8,1,0.3,0.1,0,-60,0.8,0.1,7,0.2,0.7,0.83,0.15,0.05,82.716,84.739,1,0.882716,71.641173,26.215256
98,30,30,1.9,4.3,0.9,3.4,0.2,15,1.2,3.4,0.8,1.1,1.7,0,-70,1.3,0.3,3,0.9,0.1,2.13,0,0,82.545,84.774,0.950617,0.882716,74.138611,40.833783
99,50,41,1.8,7.5,0.9,0.1,0.3,40,1.8,6,1,0.1,0.1,0,-50,1.8,0.5,8,0.2,0.8,0.87,0,0.2,82.682,84.636,1,0.941358,70.904105,22.103631
100,30,30,1.2,6.8,1,0.4,0.7,10,0.6,4.5,2,1.1,0.6,0,-50,1.4,0,2,1.1,1,6.78,0,0,81.927,84.156,0.851852,0.925926,77.702531,34.788823
101,45,41,2.5,4.9,0.5,2.1,0.9,15,0.9,4.5,0.9,1.3,0.4,0,-60,0.5,0,6,0.1,0.6,0.88,0.05,0.05,82.167,84.294,0.972222,0.907407,75.604198,29.432776
102,30,29,2,4,1,0.8,3.1,10,0.6,4.5,2,0.4,1.3,0,-80,1.3,0.3,5,0.02,0.1,0.98,0,0,81.481,83.608,0.885802,0.944444,77.928241,39.055222
103,70,70,2.5,7.6,0.5,0,0.3,40,2,5.4,0.8,0,0.8,0,-80,0.6,0.1,2,0.02,0.1,7.58,0,0,85.562,88.1,1,0.62037,39.402531,38.721563
104,40,32,2.6,4.2,0.4,1,2.7,10,0.6,4.5,2,0.4,1.3,0,-80,0.7,0.3,4,0.6,0.1,1.1,0.1,0.2,82.476,84.774,0.910494,0.947531,77.49284,39.649009
105,60,37,2.6,6.2,0.4,0.4,1.3,10,0.6,4.5,2,1.3,0.4,0,-80,0.7,0.3,3,1.2,0.1,1.9,0,0,82.853,85.117,0.969136,0.935185,77.25858,40.951193
106,35,31,1.6,5.9,1,0.6,1.4,10,0.8,3.4,2,0.6,2.2,0,-40,1.5,0,7,0.1,0.1,0.88,0.05,0.05,82.202,84.431,0.907407,0.941358,77.710586,38.114304
107,30,29,2,4,0.8,0,3.9,10,0.8,3.4,2,0,2.8,0,-80,0.8,0,5,0.1,1,0.98,0,0,80.761,82.75,0.391975,0.978395,77.391914,19.381861
108,30,29,2,4,0.8,0.5,3.4,10,0.8,3.4,2,1.1,1.7,0,-80,0.8,0,2,0.9,0.2,3.98,0,0,82.27,84.568,0.845679,0.935185,76.703117,39.042679
109,40,40,2.6,4.2,0.4,0,3.7,10,0.8,3.4,2,0,2.8,0,-80,0.6,0.2,5,0.02,1,1.03,0,0,80.83,82.819,0.651235,0.962963,77.736265,20.649891
110,30,29,2,4,0.8,0.8,3.1,10,0.8,3.4,2,0.8,2,0,-80,0.8,0,5,0.1,1,0.98,0,0,80.761,82.75,0.407407,0.975309,77.43213,19.374294
111,60,44,2.5,6.5,0.5,0.2,1.2,35,1.6,5.9,0.8,0.1,0.2,0,-60,1.2,0.6,3,0.9,0.8,2.35,0.15,0.1,83.608,85.7,1,0.82716,64.39287,31.349211
112,30,29,1.5,5.4,0.9,0.1,2.4,10,0.6,4.5,2,1.7,0,0,-70,1.2,0.2,6,0.2,0.2,1.06,0,0,81.962,84.122,0.833333,0.938272,77.124722,35.847023
113,30,29,2,4,0.9,3.5,0.4,15,0.9,4.5,0.9,0.2,1.5,0,-80,0.9,0,5,0.2,0.4,0.98,0,0,81.413,83.471,0.864198,0.91358,76.25287,32.400429
114,65,59,2.5,7,0.5,0.3,0.6,15,1.2,3.4,1,1.5,1.3,0,-60,1.4,0.7,7,0.1,0.6,1.07,0.05,0.05,82.956,85.048,1,0.891975,72.001358,30.251751
115,40,39,2.3,4.7,0.7,1.3,1.9,10,0.6,4.5,2,0.8,0.9,0,-80,1.2,0.5,5,0.02,0.1,1.15,0,0,81.687,83.882,1,0.91358,75.569938,41.401813
116,40,31,2.6,4.2,0.4,1,2.7,10,0.6,4.5,2,0.2,1.5,0,-80,1.1,0.7,3,0.8,0.1,1.6,0.25,0.15,82.202,84.431,0.907407,0.950617,77.608519,39.799715
117,45,38,2.6,4.7,0.4,0,3.2,20,0.9,6,0.9,0.2,0,0,-80,1.1,0.7,5,0.2,0.9,0.97,0.05,0.1,81.139,83.128,0.981481,0.876543,75.160494,26.278235
118,30,30,1.2,6.8,0.8,0,1.1,40,1.8,6,1,0,0.2,0,-80,1.8,1,2,0.02,1,6.78,0,0,83.059,85.185,1,0.861111,68.841049,28.837848
119,40,32,2.1,5.1,0.8,2.5,0.3,10,0.8,3.4,2,2.1,0.7,0,-70,0.8,0,6,0.2,0.7,0.82,0,0.15,81.55,83.676,0.595679,0.972222,77.788858,24.57371
120,30,30,1.2,6.8,0.8,0,1.1,40,2,5.4,0.8,0,0.8,0,-80,0.8,0,2,0.02,1,6.78,0,0,83.368,85.562,1,0.82716,67.513086,29.401082
121,50,43,1.8,7.5,0.8,0.3,0.1,40,1.8,6,0.8,0.2,0,0,-70,1.1,0.3,2,1,0.6,6.5,0.75,0,84.156,86.351,1,0.762346,55.887654,34.393542
122,30,30,1.2,6.8,0.9,0,1.1,35,2,4.7,0.9,0,1.5,0,-80,0.9,0,2,0.02,0.9,6.78,0,0,83.196,85.357,1,0.848765,70.444105,29.440072
123,30,30,1.2,6.8,0.8,0.4,0.7,40,2,5.4,0.8,0.8,0,0,-80,0.8,0,2,0.02,1,6.78,0,0,83.368,85.528,1,0.82716,67.471975,29.513641
124,45,36,2.4,5.1,0.6,1.4,1.4,35,1.6,5.9,0.8,0.1,0.2,0,-70,1.4,0.8,6,0.2,0.9,0.82,0,0.15,82.716,84.671,1,0.87963,71.871358,22.949141
125,65,64,2.3,7.6,0.7,0.2,0.1,15,1.2,3.4,0.8,1.9,0.9,0,-60,0.9,0,8,0.02,0.9,1.07,0,0,82.407,84.431,1,0.867284,71.575278,24.981091
126,60,38,2.1,7.7,0.9,0.2,0,20,0.9,6,1,0.2,0,0,-60,1.1,0.1,5,0.7,0.1,1.22,0.35,0.35,81.927,84.053,1,0.861111,71.968858,40.529393
127,45,34,2.6,4.7,0.4,0.1,3.1,40,1.8,6,0.8,0.1,0.1,0,-80,0.4,0,5,0.3,0.8,0.87,0.2,0.05,82.064,83.985,1,0.861111,69.786883,24.295662
128,60,33,2.1,7.7,0.9,0,0.2,30,2,4,1,1.8,0.4,0,-50,1.3,0,6,0.7,1,0.84,0.4,0.1,82.236,84.225,0.996914,0.978395,78.098457,21.880053
129,65,58,2.3,7.6,0.7,0,0.3,25,1.8,3.8,0.9,0,2.4,0,-50,1.1,0.2,9,0.1,0.7,0.85,0.05,0.05,81.687,83.642,1,0.864198,70.010864,24.771184
